
Loading weights:   0%|          | 0/320 [00:00<?, ?it/s]
Loading weights:  23%|██▎       | 75/320 [00:00<00:00, 735.13it/s]
Loading weights:  76%|███████▋  | 244/320 [00:00<00:00, 1291.91it/s]
Loading weights: 100%|██████████| 320/320 [00:00<00:00, 1305.01it/s]
group t=15 done
group t=27 done
group t=11 done
group t=31 done

writer-only recovery = +1.043
kind                       layer head  mean_rec   sem
cleanblock mixer              1 None  +0.998  0.001
cleanblock mixer              2 None  +1.002  0.001
cleanblock mixer              3 None  +0.978  0.002
cleanblock mixer              4 None  +0.992  0.001
cleanblock mixer              5 None  +1.002  0.001
cleanblock mixer              6 None  +0.996  0.002
cleanblock mixer              7 None  +0.990  0.002
cleanblock mixer              8 None  +0.997  0.001
cleanblock mixer              9 None  +0.999  0.001
cleanblock mixer             10 None  +0.981  0.003
cleanblock mixer             11 None  +0.974  0.002
cleanblock mixer             12 None  +0.994  0.001
cleanblock mixer             13 None  +0.989  0.002
cleanblock mixer             14 None  +0.940  0.006
cleanblock mixer             15 None  +0.538  0.007
cleanblock mixer             16 None  +1.040  0.005
cleanblock mixer             17 None  +0.985  0.001
cleanblock mixer             18 None  +0.986  0.003
cleanblock mixer             19 None  +0.445  0.010
cleanblock mixer             20 None  +0.985  0.002
cleanblock mixer             21 None  +0.985  0.001
cleanblock mixer             22 None  +0.902  0.003
cleanblock mixer             23 None  +1.203  0.007
cleanblock mlp                1 None  +0.973  0.003
cleanblock mlp                2 None  +0.925  0.006
cleanblock mlp                3 None  +0.977  0.003
cleanblock mlp                4 None  +0.984  0.003
cleanblock mlp                5 None  +0.993  0.003
cleanblock mlp                6 None  +0.942  0.003
cleanblock mlp                7 None  +1.004  0.002
cleanblock mlp                8 None  +0.996  0.002
cleanblock mlp                9 None  +0.988  0.002
cleanblock mlp               10 None  +0.990  0.001
cleanblock mlp               11 None  +0.994  0.001
cleanblock mlp               12 None  +0.995  0.001
cleanblock mlp               13 None  +0.968  0.003
cleanblock mlp               14 None  +0.663  0.007
cleanblock mlp               15 None  +0.917  0.009
cleanblock mlp               16 None  +0.950  0.006
cleanblock mlp               17 None  +0.934  0.006
cleanblock mlp               18 None  +0.951  0.004
cleanblock mlp               19 None  +0.995  0.005
cleanblock mlp               20 None  +0.997  0.005
cleanblock mlp               21 None  +0.950  0.004
cleanblock mlp               22 None  +0.957  0.005
cleanblock mlp               23 None  +0.855  0.012
pathblock K@src               3 None  +1.043  0.008
pathblock K@src               7 None  +1.042  0.008
pathblock K@src              11 None  +1.044  0.008
pathblock K@src              15 None  +1.022  0.008
pathblock K@src              19 None  +1.031  0.009
pathblock K@src              23 None  +1.079  0.008
pathblock KV@src              3 None  +1.044  0.008
pathblock KV@src              7 None  +1.045  0.008
pathblock KV@src             11 None  +1.026  0.008
pathblock KV@src             15 None  +0.653  0.010
pathblock KV@src             19 None  +0.453  0.011
pathblock KV@src             23 None  +1.049  0.007
pathblock KV@src+delim        3 None  +1.044  0.008
pathblock KV@src+delim        7 None  +1.042  0.008
pathblock KV@src+delim       11 None  +1.013  0.008
pathblock KV@src+delim       15 None  +0.646  0.010
pathblock KV@src+delim       19 None  +0.453  0.011
pathblock KV@src+delim       23 None  +1.049  0.007
pathblock V@src               3 None  +1.029  0.008
pathblock V@src               7 None  +1.050  0.008
pathblock V@src              11 None  +1.029  0.008
pathblock V@src              15 None  +0.647  0.010
pathblock V@src              19 None  +0.387  0.012
pathblock V@src              23 None  +1.252  0.010
pathopen K@src                3 None  +0.002  0.001
pathopen K@src                7 None  -0.000  0.001
pathopen K@src               11 None  -0.002  0.001
pathopen K@src               15 None  +0.001  0.003
pathopen K@src               19 None  +0.035  0.004
pathopen K@src               23 None  -0.113  0.006
pathopen KV@src               3 None  +0.001  0.001
pathopen KV@src               7 None  -0.001  0.002
pathopen KV@src              11 None  +0.018  0.002
pathopen KV@src              15 None  +0.425  0.008
pathopen KV@src              19 None  +0.552  0.008
pathopen KV@src              23 None  -0.095  0.006
pathopen KV@src+delim         3 None  +0.001  0.001
pathopen KV@src+delim         7 None  +0.001  0.002
pathopen KV@src+delim        11 None  +0.033  0.003
pathopen KV@src+delim        15 None  +0.442  0.008
pathopen KV@src+delim        19 None  +0.552  0.008
pathopen KV@src+delim        23 None  -0.095  0.006
pathopen Q@final              3 None  +0.000  0.000
pathopen Q@final              7 None  +0.000  0.000
pathopen Q@final             11 None  +0.001  0.000
pathopen Q@final             15 None  +0.007  0.001
pathopen Q@final             19 None  +0.057  0.007
pathopen Q@final             23 None  -0.280  0.007
pathopen QKV@all              3 None  +0.020  0.001
pathopen QKV@all              7 None  +0.004  0.002
pathopen QKV@all             11 None  +0.032  0.002
pathopen QKV@all             15 None  +0.438  0.009
pathopen QKV@all             19 None  +0.600  0.010
pathopen QKV@all             23 None  -0.284  0.007
pathopen V@src                3 None  +0.022  0.001
pathopen V@src                7 None  -0.005  0.002
pathopen V@src               11 None  +0.021  0.002
pathopen V@src               15 None  +0.423  0.009
pathopen V@src               19 None  +0.599  0.012
