
Loading weights:   0%|          | 0/320 [00:00<?, ?it/s]
Loading weights:  37%|███▋      | 118/320 [00:00<00:00, 1173.50it/s]
Loading weights:  79%|███████▉  | 254/320 [00:00<00:00, 1277.90it/s]
Loading weights: 100%|██████████| 320/320 [00:00<00:00, 1310.68it/s]
group t=15 done
group t=27 done
group t=11 done
group t=31 done

layer head kind                                   mean     sem
   15    3 attn_prob final->src (corrupted)       +0.533  0.012
   15    3 attn_prob final->src (writer-patched)  +0.519  0.011
   15    3 head-path K@src                        -0.012  0.002
   15    3 head-path K@src+delim                  -0.013  0.002
   15    3 head-path Q@final                      -0.017  0.002
   15    3 head-path QKV@all                      -0.225  0.009
   15    3 head-path V@src                        -0.213  0.009
   15    3 head-path V@src+delim                  -0.215  0.009
   15    5 attn_prob final->src (corrupted)       +0.782  0.008
   15    5 attn_prob final->src (writer-patched)  +0.816  0.009
   15    5 head-path K@src                        -0.001  0.001
   15    5 head-path K@src+delim                  -0.001  0.001
   15    5 head-path Q@final                      +0.002  0.000
   15    5 head-path QKV@all                      +0.392  0.008
   15    5 head-path V@src                        +0.388  0.008
   15    5 head-path V@src+delim                  +0.388  0.008
   19    1 attn_prob final->src (corrupted)       +0.404  0.015
   19    1 attn_prob final->src (writer-patched)  +0.381  0.011
   19    1 head-path K@src                        +0.021  0.004
   19    1 head-path K@src+delim                  +0.021  0.004
   19    1 head-path Q@final                      +0.036  0.003
   19    1 head-path QKV@all                      +0.375  0.009
   19    1 head-path V@src                        +0.370  0.011
   19    1 head-path V@src+delim                  +0.370  0.011
   19    5 attn_prob final->src (corrupted)       +0.515  0.018
   19    5 attn_prob final->src (writer-patched)  +0.479  0.014
   19    5 head-path K@src                        +0.034  0.002
   19    5 head-path K@src+delim                  +0.034  0.002
   19    5 head-path Q@final                      +0.071  0.004
   19    5 head-path QKV@all                      +0.253  0.006
   19    5 head-path V@src                        +0.242  0.007
   19    5 head-path V@src+delim                  +0.242  0.007
   23    3 attn_prob final->src (corrupted)       +0.667  0.015
   23    3 attn_prob final->src (writer-patched)  +0.500  0.011
   23    3 head-path K@src                        -0.131  0.006
   23    3 head-path K@src+delim                  -0.131  0.006
   23    3 head-path Q@final                      -0.319  0.008
   23    3 head-path QKV@all                      -0.368  0.008
   23    3 head-path V@src                        -0.338  0.010
   23    3 head-path V@src+delim                  -0.338  0.010
