Loading weights:   0%|          | 0/320 [00:00<?, ?it/s]Loading weights:  43%|████▎     | 139/320 [00:00<00:00, 1370.28it/s]Loading weights:  91%|█████████ | 291/320 [00:00<00:00, 1456.66it/s]Loading weights: 100%|██████████| 320/320 [00:00<00:00, 1461.72it/s]
25/200
50/200
75/200
100/200
125/200
150/200
175/200
200/200

floors: uninformed 0.050   presence-only 0.125
layer  readout     accuracy        shuffled-label null
   -1  ceiling     1.000 ± 0.000   0.055
    0  flat        0.128 ± 0.010   0.043
    1  flat        0.090 ± 0.014   0.028
    2  flat        0.082 ± 0.009   0.033
    4  flat        0.135 ± 0.007   0.038
    5  flat        0.123 ± 0.004   0.040
    6  flat        0.123 ± 0.011   0.048
    8  flat        0.103 ± 0.015   0.048
    9  flat        0.260 ± 0.011   0.035
   10  flat        0.192 ± 0.008   0.040
   12  flat        0.307 ± 0.017   0.043
   13  flat        0.393 ± 0.025   0.040
   14  flat        0.345 ± 0.012   0.048
   16  flat        0.982 ± 0.008   0.040
   17  flat        1.000 ± 0.000   0.050
   18  flat        0.985 ± 0.004   0.037
   20  flat        0.965 ± 0.004   0.042
   21  flat        1.000 ± 0.000   0.050
   22  flat        1.000 ± 0.000   0.035
    0  query-key   0.058 ± 0.013   0.050
    1  query-key   0.062 ± 0.013   0.035
    2  query-key   0.205 ± 0.019   0.035
    4  query-key   0.113 ± 0.012   0.050
    5  query-key   0.165 ± 0.007   0.045
    6  query-key   0.170 ± 0.031   0.035
    8  query-key   0.163 ± 0.015   0.043
    9  query-key   0.157 ± 0.012   0.043
   10  query-key   0.148 ± 0.010   0.035
   12  query-key   0.458 ± 0.016   0.040
   13  query-key   0.595 ± 0.019   0.045
   14  query-key   0.560 ± 0.011   0.040
   16  query-key   1.000 ± 0.000   0.048
   17  query-key   1.000 ± 0.000   0.060
   18  query-key   1.000 ± 0.000   0.048
   20  query-key   1.000 ± 0.000   0.055
   21  query-key   1.000 ± 0.000   0.060
   22  query-key   1.000 ± 0.000   0.065
